date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,tourn_lower
2025-06-21,Curaçao,Canada,1.0,1.0,Gold Cup,Houston,United States,True,gold cup
2025-06-21,Honduras,El Salvador,2.0,0.0,Gold Cup,Houston,United States,True,gold cup
2025-06-22,Mexico,Costa Rica,0.0,0.0,Gold Cup,Paradise,United States,True,gold cup
2025-06-22,Dominican Republic,Suriname,0.0,0.0,Gold Cup,Arlington,United States,True,gold cup
2025-06-22,Saudi Arabia,Trinidad and Tobago,1.0,1.0,Gold Cup,Paradise,United States,True,gold cup
2025-06-22,United States,Haiti,2.0,1.0,Gold Cup,Arlington,United States,False,gold cup
2025-06-24,Honduras,Curaçao,2.0,1.0,Gold Cup,San Jose,United States,True,gold cup
2025-06-24,Canada,El Salvador,2.0,0.0,Gold Cup,Houston,United States,True,gold cup
2025-06-24,Panama,Jamaica,4.0,1.0,Gold Cup,Austin,United States,True,gold cup
2025-06-24,Guadeloupe,Guatemala,2.0,3.0,Gold Cup,Houston,United States,True,gold cup
2025-06-28,Panama,Honduras,1.0,1.0,Gold Cup,Glendale,United States,True,gold cup
2025-06-28,Mexico,Saudi Arabia,2.0,0.0,Gold Cup,Glendale,United States,True,gold cup
2025-06-29,Canada,Guatemala,1.0,1.0,Gold Cup,Minneapolis,United States,True,gold cup
2025-06-29,United States,Costa Rica,2.0,2.0,Gold Cup,Minneapolis,United States,False,gold cup
2025-07-02,United States,Guatemala,2.0,1.0,Gold Cup,St. Louis,United States,False,gold cup
2025-07-02,Mexico,Honduras,1.0,0.0,Gold Cup,Santa Clara,United States,True,gold cup
2025-07-06,United States,Mexico,1.0,2.0,Gold Cup,Houston,United States,False,gold cup
2025-08-13,United States Virgin Islands,Turks and Caicos Islands,1.0,1.0,Outrigger Challenge Cup,United States,United States,True,outrigger challenge cup
2025-08-14,Marshall Islands,United States Virgin Islands,0.0,4.0,Outrigger Challenge Cup,United States,United States,True,outrigger challenge cup
2025-08-16,Turks and Caicos Islands,Marshall Islands,3.0,2.0,Outrigger Challenge Cup,United States,United States,True,outrigger challenge cup
2025-08-24,Qatar,Lebanon,2.0,2.0,Friendly,Doha,Qatar,False,friendly
2025-09-03,Qatar,Bahrain,2.0,2.0,Friendly,Doha,Qatar,False,friendly
2025-09-03,Seychelles,Gabon,0.0,4.0,FIFA World Cup qualification,Saint Pierre,Mauritius,True,fifa world cup qualification
2025-09-04,Gibraltar,Albania,0.0,1.0,Friendly,Gibraltar,Gibraltar,False,friendly
2025-09-04,Malaysia,Singapore,2.0,1.0,Friendly,Kuala Lumpur,Malaysia,False,friendly
2025-09-04,Norway,Finland,1.0,0.0,Friendly,Oslo,Norway,False,friendly
2025-09-04,Russia,Jordan,0.0,0.0,Friendly,Moscow,Russia,False,friendly
2025-09-04,Saudi Arabia,North Macedonia,2.0,1.0,Friendly,Prague,Czech Republic,True,friendly
2025-09-04,United Arab Emirates,Syria,3.0,1.0,Friendly,Dubai,United Arab Emirates,False,friendly
2025-09-04,Colombia,Bolivia,3.0,0.0,FIFA World Cup qualification,Barranquilla,Colombia,False,fifa world cup qualification
2025-09-04,Argentina,Venezuela,3.0,0.0,FIFA World Cup qualification,Buenos Aires,Argentina,False,fifa world cup qualification
2025-09-04,Paraguay,Ecuador,0.0,0.0,FIFA World Cup qualification,Asunción,Paraguay,False,fifa world cup qualification
2025-09-04,Uruguay,Peru,3.0,0.0,FIFA World Cup qualification,Montevideo,Uruguay,False,fifa world cup qualification
2025-09-04,Brazil,Chile,3.0,0.0,FIFA World Cup qualification,Rio de Janeiro,Brazil,False,fifa world cup qualification
2025-09-04,Guinea-Bissau,Sierra Leone,1.0,1.0,FIFA World Cup qualification,Bissau,Guinea-Bissau,False,fifa world cup qualification
2025-09-04,Angola,Libya,0.0,1.0,FIFA World Cup qualification,Luanda,Angola,False,fifa world cup qualification
2025-09-04,Cameroon,Eswatini,3.0,0.0,FIFA World Cup qualification,Yaoundé,Cameroon,False,fifa world cup qualification
2025-09-04,Mauritius,Cape Verde,0.0,2.0,FIFA World Cup qualification,Saint Pierre,Mauritius,False,fifa world cup qualification
2025-09-04,Algeria,Botswana,3.0,1.0,FIFA World Cup qualification,Tizi Ouzou,Algeria,False,fifa world cup qualification
2025-09-04,São Tomé and Príncipe,Equatorial Guinea,2.0,3.0,FIFA World Cup qualification,Oujda,Morocco,True,fifa world cup qualification
2025-09-04,Tunisia,Liberia,3.0,0.0,FIFA World Cup qualification,Radès,Tunisia,False,fifa world cup qualification
2025-09-04,Chad,Ghana,1.0,1.0,FIFA World Cup qualification,N'Djamena,Chad,False,fifa world cup qualification
2025-09-04,Madagascar,Central African Republic,2.0,0.0,FIFA World Cup qualification,Casablanca,Morocco,True,fifa world cup qualification
2025-09-04,Mali,Comoros,3.0,0.0,FIFA World Cup qualification,Berkane,Morocco,True,fifa world cup qualification
2025-09-04,Luxembourg,Northern Ireland,1.0,3.0,FIFA World Cup qualification,Luxembourg,Luxembourg,False,fifa world cup qualification
2025-09-04,Slovakia,Germany,2.0,0.0,FIFA World Cup qualification,Bratislava,Slovakia,False,fifa world cup qualification
2025-09-04,Georgia,Turkey,2.0,3.0,FIFA World Cup qualification,Tbilisi,Georgia,False,fifa world cup qualification
2025-09-04,Bulgaria,Spain,0.0,3.0,FIFA World Cup qualification,Sofia,Bulgaria,False,fifa world cup qualification
2025-09-04,Lithuania,Malta,1.0,1.0,FIFA World Cup qualification,Kaunas,Lithuania,False,fifa world cup qualification
2025-09-04,Netherlands,Poland,1.0,1.0,FIFA World Cup qualification,Rotterdam,Netherlands,False,fifa world cup qualification
2025-09-04,Kazakhstan,Wales,0.0,1.0,FIFA World Cup qualification,Astana,Kazakhstan,False,fifa world cup qualification
2025-09-04,Liechtenstein,Belgium,0.0,6.0,FIFA World Cup qualification,Vaduz,Liechtenstein,False,fifa world cup qualification
2025-09-04,Iraq,Hong Kong,2.0,1.0,King's Cup,Kanchanaburi,Thailand,True,king's cup
2025-09-04,Thailand,Fiji,3.0,0.0,King's Cup,Kanchanaburi,Thailand,False,king's cup
2025-09-05,Australia,New Zealand,1.0,0.0,Soccer Ashes,Canberra,Australia,False,soccer ashes
2025-09-05,Indonesia,Taiwan,6.0,0.0,Friendly,Surabaya,Indonesia,False,friendly
2025-09-05,Romania,Canada,0.0,3.0,Friendly,Bucharest,Romania,False,friendly
2025-09-05,Djibouti,Burkina Faso,0.0,6.0,FIFA World Cup qualification,Bissau,Guinea-Bissau,True,fifa world cup qualification
2025-09-05,Egypt,Ethiopia,2.0,0.0,FIFA World Cup qualification,Cairo,Egypt,False,fifa world cup qualification
2025-09-05,South Sudan,DR Congo,1.0,4.0,FIFA World Cup qualification,Juba,South Sudan,False,fifa world cup qualification
2025-09-05,Mauritania,Togo,2.0,0.0,FIFA World Cup qualification,Nouadhibou,Mauritania,False,fifa world cup qualification
2025-09-05,Senegal,Sudan,2.0,0.0,FIFA World Cup qualification,Diamniadio,Senegal,False,fifa world cup qualification
2025-09-05,Benin,Zimbabwe,1.0,0.0,FIFA World Cup qualification,Ebimpé,Ivory Coast,True,fifa world cup qualification
2025-09-05,South Africa,Lesotho,3.0,0.0,FIFA World Cup qualification,Bloemfontein,South Africa,False,fifa world cup qualification
2025-09-05,Congo,Tanzania,1.0,1.0,FIFA World Cup qualification,Brazzaville,Congo,False,fifa world cup qualification
2025-09-05,Morocco,Niger,5.0,0.0,FIFA World Cup qualification,Rabat,Morocco,False,fifa world cup qualification
2025-09-05,Kenya,Gambia,1.0,3.0,FIFA World Cup qualification,Nairobi,Kenya,False,fifa world cup qualification
2025-09-05,Ivory Coast,Burundi,1.0,0.0,FIFA World Cup qualification,Abidjan,Ivory Coast,False,fifa world cup qualification
2025-09-05,Somalia,Guinea,0.0,3.0,FIFA World Cup qualification,Kampala,Uganda,True,fifa world cup qualification
2025-09-05,Uganda,Mozambique,4.0,0.0,FIFA World Cup qualification,Kampala,Uganda,False,fifa world cup qualification
2025-09-05,Namibia,Malawi,1.0,2.0,FIFA World Cup qualification,Francistown,Botswana,True,fifa world cup qualification
2025-09-05,Slovenia,Sweden,2.0,2.0,FIFA World Cup qualification,Ljubljana,Slovenia,False,fifa world cup qualification
2025-09-05,Switzerland,Kosovo,4.0,0.0,FIFA World Cup qualification,Basel,Switzerland,False,fifa world cup qualification
2025-09-05,Denmark,Scotland,0.0,0.0,FIFA World Cup qualification,Copenhagen,Denmark,False,fifa world cup qualification
2025-09-05,Greece,Belarus,5.0,1.0,FIFA World Cup qualification,Athens,Greece,False,fifa world cup qualification
2025-09-05,Iceland,Azerbaijan,5.0,0.0,FIFA World Cup qualification,Reykjavík,Iceland,False,fifa world cup qualification
2025-09-05,Ukraine,France,0.0,2.0,FIFA World Cup qualification,Wrocław,Poland,True,fifa world cup qualification
2025-09-05,Italy,Estonia,5.0,0.0,FIFA World Cup qualification,Bergamo,Italy,False,fifa world cup qualification
2025-09-05,Moldova,Israel,0.0,4.0,FIFA World Cup qualification,Chișinău,Moldova,False,fifa world cup qualification
2025-09-05,Faroe Islands,Croatia,0.0,1.0,FIFA World Cup qualification,Tórshavn,Faroe Islands,False,fifa world cup qualification
2025-09-05,Montenegro,Czech Republic,0.0,2.0,FIFA World Cup qualification,Podgorica,Montenegro,False,fifa world cup qualification
2025-09-06,Sri Lanka,Maldives,0.0,3.0,South Asian Super Cup,Colombo,Sri Lanka,False,south asian super cup
2025-09-06,Mexico,Japan,0.0,0.0,Friendly,Oakland,United States,True,friendly
2025-09-06,Nepal,Bangladesh,0.0,0.0,Friendly,Kathmandu,Nepal,False,friendly
2025-09-06,United States,South Korea,0.0,2.0,Friendly,Harrison,United States,False,friendly
2025-09-06,Nigeria,Rwanda,1.0,0.0,FIFA World Cup qualification,Uyo,Nigeria,False,fifa world cup qualification
2025-09-06,Republic of Ireland,Hungary,2.0,2.0,FIFA World Cup qualification,Dublin,Republic of Ireland,False,fifa world cup qualification
2025-09-06,Armenia,Portugal,0.0,5.0,FIFA World Cup qualification,Yerevan,Armenia,False,fifa world cup qualification
2025-09-06,Austria,Cyprus,1.0,0.0,FIFA World Cup qualification,Linz,Austria,False,fifa world cup qualification
2025-09-06,San Marino,Bosnia and Herzegovina,0.0,6.0,FIFA World Cup qualification,Serravalle,San Marino,False,fifa world cup qualification
2025-09-06,Latvia,Serbia,0.0,1.0,FIFA World Cup qualification,Riga,Latvia,False,fifa world cup qualification
2025-09-06,England,Andorra,2.0,0.0,FIFA World Cup qualification,London,England,False,fifa world cup qualification
2025-09-07,Central African Republic,Comoros,0.0,2.0,FIFA World Cup qualification,Meknes,Morocco,True,fifa world cup qualification
2025-09-07,Germany,Northern Ireland,3.0,1.0,FIFA World Cup qualification,Cologne,Germany,False,fifa world cup qualification
2025-09-07,Luxembourg,Slovakia,0.0,1.0,FIFA World Cup qualification,Luxembourg,Luxembourg,False,fifa world cup qualification
2025-09-07,Georgia,Bulgaria,3.0,0.0,FIFA World Cup qualification,Tbilisi,Georgia,False,fifa world cup qualification
2025-09-07,Turkey,Spain,0.0,6.0,FIFA World Cup qualification,Konya,Turkey,False,fifa world cup qualification
2025-09-07,Lithuania,Netherlands,2.0,3.0,FIFA World Cup qualification,Kaunas,Lithuania,False,fifa world cup qualification
2025-09-07,Poland,Finland,3.0,1.0,FIFA World Cup qualification,Chorzów,Poland,False,fifa world cup qualification
2025-09-07,North Macedonia,Liechtenstein,5.0,0.0,FIFA World Cup qualification,Skopje,North Macedonia,False,fifa world cup qualification
2025-09-07,Belgium,Kazakhstan,6.0,0.0,FIFA World Cup qualification,Anderlecht,Belgium,False,fifa world cup qualification
2025-09-07,Qatar,Russia,1.0,4.0,Friendly,Doha,Qatar,False,friendly
2025-09-07,Fiji,Hong Kong,0.0,8.0,King's Cup,Kanchanaburi,Thailand,True,king's cup
2025-09-07,Thailand,Iraq,0.0,1.0,King's Cup,Kanchanaburi,Thailand,False,king's cup
2025-09-08,Czech Republic,Saudi Arabia,1.0,1.0,Friendly,Hradec Králové,Czech Republic,False,friendly
2025-09-08,Indonesia,Lebanon,0.0,0.0,Friendly,Surabaya,Indonesia,False,friendly
2025-09-08,Malaysia,Palestine,1.0,0.0,Friendly,Johor,Malaysia,False,friendly
2025-09-08,Syria,Kuwait,2.0,2.0,Friendly,Doha,Qatar,True,friendly
2025-09-08,United Arab Emirates,Bahrain,1.0,0.0,Friendly,Dubai,United Arab Emirates,False,friendly
2025-09-08,Guinea-Bissau,Djibouti,2.0,0.0,FIFA World Cup qualification,Bissau,Guinea-Bissau,False,fifa world cup qualification
2025-09-08,Libya,Eswatini,2.0,0.0,FIFA World Cup qualification,Benghazi,Libya,False,fifa world cup qualification
2025-09-08,Zambia,Morocco,0.0,2.0,FIFA World Cup qualification,Ndola,Zambia,False,fifa world cup qualification
2025-09-08,Mozambique,Botswana,2.0,0.0,FIFA World Cup qualification,Maputo,Mozambique,False,fifa world cup qualification
2025-09-08,Guinea,Algeria,0.0,0.0,FIFA World Cup qualification,Casablanca,Morocco,True,fifa world cup qualification
2025-09-08,Uganda,Somalia,2.0,0.0,FIFA World Cup qualification,Kampala,Uganda,False,fifa world cup qualification
2025-09-08,Equatorial Guinea,Tunisia,0.0,1.0,FIFA World Cup qualification,Malabo,Equatorial Guinea,False,fifa world cup qualification
2025-09-08,Malawi,Liberia,2.0,2.0,FIFA World Cup qualification,Lilongwe,Malawi,False,fifa world cup qualification
2025-09-08,Madagascar,Chad,3.0,1.0,FIFA World Cup qualification,Casablanca,Morocco,True,fifa world cup qualification
2025-09-08,Ghana,Mali,1.0,0.0,FIFA World Cup qualification,Accra,Ghana,False,fifa world cup qualification
2025-09-08,Kosovo,Sweden,2.0,0.0,FIFA World Cup qualification,Pristina,Kosovo,False,fifa world cup qualification
2025-09-08,Switzerland,Slovenia,3.0,0.0,FIFA World Cup qualification,Basel,Switzerland,False,fifa world cup qualification
2025-09-08,Belarus,Scotland,0.0,2.0,FIFA World Cup qualification,Zalaegerszeg,Hungary,True,fifa world cup qualification
2025-09-08,Greece,Denmark,0.0,3.0,FIFA World Cup qualification,Athens,Greece,False,fifa world cup qualification
2025-09-08,Israel,Italy,4.0,5.0,FIFA World Cup qualification,Debrecen,Hungary,True,fifa world cup qualification
2025-09-08,Croatia,Montenegro,4.0,0.0,FIFA World Cup qualification,Zagreb,Croatia,False,fifa world cup qualification
2025-09-08,Gibraltar,Faroe Islands,0.0,1.0,FIFA World Cup qualification,Gibraltar,Gibraltar,False,fifa world cup qualification
2025-09-09,Estonia,Andorra,0.0,0.0,Friendly,Tallinn,Estonia,False,friendly
2025-09-09,Jordan,Dominican Republic,3.0,0.0,Friendly,Amman,Jordan,False,friendly
2025-09-09,Malta,San Marino,3.0,1.0,Friendly,Ta' Qali,Malta,False,friendly
2025-09-09,Mexico,South Korea,2.0,2.0,Friendly,Nashville,United States,True,friendly
2025-09-09,New Zealand,Australia,1.0,3.0,Soccer Ashes,Auckland,New Zealand,False,soccer ashes
2025-09-09,Singapore,Myanmar,1.0,1.0,Friendly,Singapore,Singapore,False,friendly
2025-09-09,Sri Lanka,Maldives,1.0,1.0,Friendly,Colombo,Sri Lanka,False,friendly
2025-09-09,United States,Japan,2.0,0.0,Friendly,Columbus,United States,False,friendly
2025-09-09,Wales,Canada,0.0,1.0,Friendly,Cardiff,Wales,False,friendly
2025-09-09,Ecuador,Argentina,1.0,0.0,FIFA World Cup qualification,Guayaquil,Ecuador,False,fifa world cup qualification
2025-09-09,Peru,Paraguay,0.0,1.0,FIFA World Cup qualification,Lima,Peru,False,fifa world cup qualification
2025-09-09,Bolivia,Brazil,1.0,0.0,FIFA World Cup qualification,El Alto,Bolivia,False,fifa world cup qualification
2025-09-09,Venezuela,Colombia,3.0,6.0,FIFA World Cup qualification,Maturín,Venezuela,False,fifa world cup qualification
2025-09-09,Chile,Uruguay,0.0,0.0,FIFA World Cup qualification,Santiago,Chile,False,fifa world cup qualification
2025-09-09,Sierra Leone,Ethiopia,2.0,0.0,FIFA World Cup qualification,Monrovia,Liberia,True,fifa world cup qualification
2025-09-09,Burkina Faso,Egypt,0.0,0.0,FIFA World Cup qualification,Ouagadougou,Burkina Faso,False,fifa world cup qualification
2025-09-09,Togo,Sudan,1.0,0.0,FIFA World Cup qualification,Lomé,Togo,False,fifa world cup qualification
2025-09-09,DR Congo,Senegal,2.0,3.0,FIFA World Cup qualification,Kinshasa,DR Congo,False,fifa world cup qualification
2025-09-09,Mauritania,South Sudan,0.0,0.0,FIFA World Cup qualification,Nouadhibou,Mauritania,False,fifa world cup qualification
2025-09-09,Zimbabwe,Rwanda,0.0,1.0,FIFA World Cup qualification,Johannesburg,South Africa,True,fifa world cup qualification
2025-09-09,South Africa,Nigeria,1.0,1.0,FIFA World Cup qualification,Bloemfontein,South Africa,False,fifa world cup qualification
2025-09-09,Benin,Lesotho,4.0,0.0,FIFA World Cup qualification,Abidjan,Ivory Coast,True,fifa world cup qualification
2025-09-09,Cape Verde,Cameroon,1.0,0.0,FIFA World Cup qualification,Praia,Cape Verde,False,fifa world cup qualification
2025-09-09,Angola,Mauritius,3.0,1.0,FIFA World Cup qualification,Luanda,Angola,False,fifa world cup qualification
2025-09-09,Tanzania,Niger,0.0,1.0,FIFA World Cup qualification,Unguja,Tanzania,False,fifa world cup qualification
2025-09-09,Kenya,Seychelles,5.0,0.0,FIFA World Cup qualification,Nairobi,Kenya,False,fifa world cup qualification
2025-09-09,Gabon,Ivory Coast,0.0,0.0,FIFA World Cup qualification,Franceville,Gabon,False,fifa world cup qualification
2025-09-09,Gambia,Burundi,2.0,0.0,FIFA World Cup qualification,Nairobi,Kenya,True,fifa world cup qualification
2025-09-09,Namibia,São Tomé and Príncipe,3.0,0.0,FIFA World Cup qualification,Francistown,Botswana,True,fifa world cup qualification
2025-09-09,Azerbaijan,Ukraine,1.0,1.0,FIFA World Cup qualification,Baku,Azerbaijan,False,fifa world cup qualification
2025-09-09,France,Iceland,2.0,1.0,FIFA World Cup qualification,Paris,France,False,fifa world cup qualification
2025-09-09,Armenia,Republic of Ireland,2.0,1.0,FIFA World Cup qualification,Yerevan,Armenia,False,fifa world cup qualification
2025-09-09,Hungary,Portugal,2.0,3.0,FIFA World Cup qualification,Budapest,Hungary,False,fifa world cup qualification
2025-09-09,Bosnia and Herzegovina,Austria,1.0,2.0,FIFA World Cup qualification,Zenica,Bosnia and Herzegovina,False,fifa world cup qualification
2025-09-09,Cyprus,Romania,2.0,2.0,FIFA World Cup qualification,Nicosia,Cyprus,False,fifa world cup qualification
2025-09-09,Norway,Moldova,11.0,1.0,FIFA World Cup qualification,Oslo,Norway,False,fifa world cup qualification
2025-09-09,Albania,Latvia,1.0,0.0,FIFA World Cup qualification,Tirana,Albania,False,fifa world cup qualification
2025-09-09,Serbia,England,0.0,5.0,FIFA World Cup qualification,Belgrade,Serbia,False,fifa world cup qualification
2025-10-04,Saint Kitts and Nevis,Saint Martin,5.0,0.0,Friendly,Basseterre,Saint Kitts and Nevis,False,friendly
2025-10-05,Saint Kitts and Nevis,Saint Martin,2.0,1.0,Friendly,Basseterre,Saint Kitts and Nevis,False,friendly
2025-10-05,Saint Vincent and the Grenadines,Cuba,7.0,0.0,Friendly,Arnos Vale,Saint Vincent and the Grenadines,False,friendly
2025-10-08,Qatar,Oman,0.0,0.0,FIFA World Cup qualification,Al Rayyan,Qatar,False,fifa world cup qualification
2025-10-08,Saudi Arabia,Indonesia,3.0,2.0,FIFA World Cup qualification,Jeddah,Saudi Arabia,False,fifa world cup qualification
2025-10-08,Ethiopia,Guinea-Bissau,1.0,0.0,FIFA World Cup qualification,Kigali,Rwanda,True,fifa world cup qualification
2025-10-08,Sierra Leone,Burkina Faso,0.0,1.0,FIFA World Cup qualification,Monrovia,Liberia,True,fifa world cup qualification
2025-10-08,Djibouti,Egypt,0.0,3.0,FIFA World Cup qualification,Casablanca,Morocco,True,fifa world cup qualification
2025-10-08,Libya,Cape Verde,3.0,3.0,FIFA World Cup qualification,Tripoli,Libya,False,fifa world cup qualification
2025-10-08,Eswatini,Angola,2.0,2.0,FIFA World Cup qualification,Lobamba,Eswatini,False,fifa world cup qualification
2025-10-08,Mauritius,Cameroon,0.0,2.0,FIFA World Cup qualification,Saint Pierre,Mauritius,False,fifa world cup qualification
2025-10-08,Niger,Congo,3.0,1.0,FIFA World Cup qualification,Ouagadougou,Burkina Faso,True,fifa world cup qualification
2025-10-08,Tanzania,Zambia,0.0,1.0,FIFA World Cup qualification,Unguja,Tanzania,False,fifa world cup qualification
2025-10-08,Comoros,Madagascar,1.0,2.0,FIFA World Cup qualification,Abidjan,Ivory Coast,True,fifa world cup qualification
2025-10-08,Central African Republic,Ghana,0.0,5.0,FIFA World Cup qualification,El Jadida,Morocco,True,fifa world cup qualification
2025-10-08,Chad,Mali,0.0,2.0,FIFA World Cup qualification,N'Djamena,Chad,False,fifa world cup qualification
2025-10-08,Gibraltar,New Caledonia,0.0,2.0,Friendly,Gibraltar,Gibraltar,False,friendly
2025-10-08,Saint Vincent and the Grenadines,Cuba,1.0,0.0,Friendly,Arnos Vale,Saint Vincent and the Grenadines,False,friendly
2025-10-09,England,Wales,3.0,0.0,Friendly,London,England,False,friendly
2025-10-09,Poland,New Zealand,1.0,0.0,Friendly,Chorzów,Poland,False,friendly
2025-10-09,Romania,Moldova,2.0,1.0,Friendly,Bucharest,Romania,False,friendly
